,noten,tag
Tartiflette,False,hoofdgerecht
Ajam pangang,False,hoofdgerecht
Bloemkoolschotel,False,hoofdgerecht
Koe loe kai ,False,hoofdgerecht
Pasta pesto met kipstuckjes en tomatensalade,False,hoofdgerecht
Hutspot met vegetarische rookworst en jus,False,hoofdgerecht
Zoete aardappelstamppot met spruiten en vega gehacktbal,False,hoofdgerecht
'Kapsalon' met&nbsp;vegetarische&nbsp;kipshoarma en salade,False,hoofdgerecht
Gebakken krieltjes met broccoli en vegetarische bratwurst,False,hoofdgerecht
"Noedels met tofu, Chinese wokgroente en zoete chilisaus",False,hoofdgerecht
Groentewraps met vegetarische schnitzel,False,hoofdgerecht
"Orzo met kalkoen, spinazie en geitenkaas",False,hoofdgerecht
Andijviestamppot met tomaatjes en zalm,False,hoofdgerecht
"Groene-currysoep met groenten, noedels en taugé",False,hoofdgerecht
"Couscous met kip, bospeen en cranberrysaus",False,hoofdgerecht
"Tortillaschotel met zoete aardappel, tomaat en avocado",False,hoofdgerecht
Chicken pot pie,False,hoofdgerecht
Portobellosteaks met aardappelpuree,False,hoofdgerecht
Broodje pulled paddo's met barbecuesaus en knolselderijsalade,False,hoofdgerecht
"Traybake van peer, varkenslapjes, rode ui, tijm en knolselderij",False,hoofdgerecht
Vegan curry van gestoofde groenten met naan,False,hoofdgerecht
Hutspot met hertenbiefstuk,False,hoofdgerecht
Wilde rijstsoep met kip,False,hoofdgerecht
"Zuurkoolstamppot met appel, kaneel en bruine suiker",False,hoofdgerecht
Fish pie,False,hoofdgerecht
Stoofvleespastei,False,hoofdgerecht
Snelle risotto porcini,False,hoofdgerecht
"Stamppot boerenkool met geroosterde pompoen, spek en walnoten",False,hoofdgerecht
"Rijst met vegaballetjes, boerenkool, knoflook en tomatensaus",False,hoofdgerecht
"Pasta met geroosterde pompoen met boerenkool, walnoten en tahin",False,hoofdgerecht
"Pulled chicken met tortilla's, bonen en avocado",False,hoofdgerecht
Groentesoep met kip en rijst,False,hoofdgerecht
"Traybake met kippendij, sinaasappelglaze en brocccoli",False,hoofdgerecht
Linzenstoof met gepocheerde eieren,False,hoofdgerecht
Pompoenlasagne XL met geitenkaas,False,hoofdgerecht
Ovenschotel met chipolata en knolselderij,False,hoofdgerecht
Stoofvlees met zoete-aardappelfriet en rodekoolsalade,False,hoofdgerecht
"Spaghetti met tartaar, tomaat en wortel",False,hoofdgerecht
Gestoofde pompoen met puntpaprika en kidneybonen (advertorial),False,hoofdgerecht
"Wortelwraps met kikkererwten, paprika en tzatziki (advertorial)",False,lunch
"Bio pasta met garnalen, feta en tomatensaus (advertorial)",False,hoofdgerecht
"Volkorensandwich met rode ui, spinazie en cottage cheese",False,lunch
Kaasomelet met frisse courgettesalade,False,lunch
Preistamppot met runderballetjes in kerriesaus,False,hoofdgerecht
Volkorentosti met kaas en paprika,False,lunch
"Geroosterde groente met aardappelpartjes, kip en sinaasappel ",False,hoofdgerecht
Wortelsoep met muntyoghurt en volkorenpita,False,lunch
"Volkorenpasta met tuinertwensaus, tomaat en makreel",False,hoofdgerecht
"Volkorenpastasalade met mozzarellabolletjes, sojabonen, tonijn en komkommer",False,hoofdgerecht
Volkorentoast met avocadospread en peterselie,False,lunch
"Pizza van volkorenplatbrood met tartaar, paprika en tomatensalsa ",False,hoofdgerecht
"Volkorenbolletje met kaas, radijs en komkommer ",False,lunch
"Couscous met gebakken kip, wortel, abrikozen en citroen ",False,hoofdgerecht
"Traybake met groente, bonen en fuet sticks (advertorial)",False,hoofdgerecht
Patatje stoofvlees met pittige allioli (advertorial),False,hoofdgerecht
Vegan stoof,False,hoofdgerecht
Klassiek Britse pie met kip,False,hoofdgerecht
Shepherd's pie,False,hoofdgerecht
Turkse dürüm döner,False,hoofdgerecht
Vegan pizza salami,False,hoofdgerecht
Vegan pizza funghi,False,hoofdgerecht
Pittige tonijntosti’s met brie en courgette,False,lunch
Tarte tatin van sjalotten met marmelade,False,hoofdgerecht
Vega kiproerbak met groene groenten en rijst,False,hoofdgerecht
"Pasta met kip, venkel en Italiaanse kruiden",False,hoofdgerecht
Shakshuka met Provençaalse groente,False,hoofdgerecht
Krokante zalm met bloemkool en notenrijst,False,hoofdgerecht
Zalmpakketje uit de oven met pasta,False,hoofdgerecht
Zalmvissticks uit de oven met taco's en salsa,False,hoofdgerecht
Traybake van orzo met gehaktballetjes in tomatensaus,False,hoofdgerecht
Quesadillatraybake,False,hoofdgerecht
"Traybake van zoete aardappel, kikkererwten en knapperige halloumi",False,hoofdgerecht
"Worsttraybake met kriel, venkel en appel",False,hoofdgerecht
"Traybake met gnocchi, feta en snoeptomaat",False,hoofdgerecht
"Traybake van zoete aardappel, kip en courgette",False,hoofdgerecht
"Salade van orzo, ricotta, spinazie en prossciutto",False,lunch
"Pita met whipped feta, komkommer en oregano",False,lunch
"Salade met bietjes, zalm, sinaasappel en munt",False,lunch
"Broodje kipfilet, mango en guacamole",False,lunch
Pistoletje met een verrassing,False,lunch
"Pancakes met zuivelspread, banaan en dadel",False,lunch
Kikkererwtensalade met selderij en augurk,False,lunch
"Broodje met oude kaas, gemarineerde ui en veldsla",False,lunch
Pasta met Italiaanse roerbakgroente en worst,False,hoofdgerecht
Gladde groentesoep met feta-crème en peterselieolie,False,hoofdgerecht
"Pizza met andijvie, anjovis en burrata",False,hoofdgerecht
Geroosterde wortel met rundertartaar en zilvervliesrijst,False,hoofdgerecht
Romige witte-bonenstoof met vis,False,hoofdgerecht
Lauwwarme aardappelsalade met tonijn en ei,False,hoofdgerecht
Volkorenspaghetti met broccoli en ansjovis,False,hoofdgerecht
Tomaat-broodsoep met basilicum (pappa al pomodoro),False,hoofdgerecht
Linzenstoof met yoghurt en geroosterd brood,False,hoofdgerecht
Tosti-tortillawrap,False,lunch
Broccoli-cheddarsoep,False,lunch
Rode-linzensoep met zoete aardappel van Kookmutsjes,False,hoofdgerecht
"Gebakken krieltjes met sperziebonen, garnalen en ei ",False,hoofdgerecht
Pasta in romige tomatensaus met spinazie,False,hoofdgerecht
"Traybake met bonen, kip, tomaatjes en broccoli",False,hoofdgerecht
Geroosterde aubergineschotel met mozzarella,False,hoofdgerecht
Volkorentortilla’s met kip en paprika,False,hoofdgerecht
Venkelstamppot met zachtgekookt ei,False,hoofdgerecht
"Romige kip met broccoli, prei en rijst",False,hoofdgerecht
"Stoof met varkensvlees, paprika, rucola en krieltjes",False,hoofdgerecht
Zalmpakketjes uit de oven met tuinerwtenpuree,False,hoofdgerecht
Kip roerbak met sperziebonen en rijst,False,hoofdgerecht
Snijbonenstamppot met filetlapjes en gebakken tomaten,False,hoofdgerecht
Visstoofpot met courgette en witte bonen,False,hoofdgerecht
Geroosterde aardappeltjes met gegrilde kipdij en koolsla,False,hoofdgerecht
Zoete-aardappelstamppot met venkel en witte kaas,False,hoofdgerecht
Tortellini met balletjes en tomatensaus,False,hoofdgerecht
"Romige linguine met brie, artisjok en parmaham",False,hoofdgerecht
Kip met sinaasappel-hoisinsaus en rijst,False,hoofdgerecht
Sandwiches abrikozen-kip en aardbei-brie ,False,lunch
Vegan pizza 'Margherita',False,hoofdgerecht
Vegan wraps met tofu en rodekoolsalade,False,hoofdgerecht
Koolhydraatarme sandwich,False,lunch
